Date,Cena ob začetku trgovalnega dne,Najvišja cena,Najnižja cena,Cena ob koncu trgovalnega dne,Obseg trgovanja
2023-08-07,182.1300,183.1300,177.3500,178.8500,97576100
2023-08-08,179.6900,180.2700,177.5800,179.8000,67823000
2023-08-09,180.8700,180.9300,177.0100,178.1900,60378500
2023-08-10,179.4800,180.7500,177.6000,177.9700,54686900
2023-08-11,177.3200,178.6200,176.5500,177.7900,51988100
2023-08-14,177.9700,179.6900,177.3100,179.4600,43675600
2023-08-15,178.8800,179.4800,177.0500,177.4500,43622600
2023-08-16,177.1300,178.5400,176.5000,176.5700,46964900
2023-08-17,177.1400,177.5100,173.4800,174.0000,66062900
2023-08-18,172.3000,175.1000,171.9600,174.4900,61114200
2023-08-21,175.0700,176.1300,173.7400,175.8400,46311900
2023-08-22,177.0600,177.6800,176.2500,177.2300,42084200
2023-08-23,178.5200,181.5500,178.3300,181.1200,52722800
2023-08-24,180.6700,181.1000,176.0100,176.3800,54945800
2023-08-25,177.3800,179.1500,175.8200,178.6100,51449600
2023-08-28,180.0900,180.5900,178.5500,180.1900,43820700
2023-08-29,179.7000,184.9000,179.5000,184.1200,53003900
2023-08-30,184.9400,187.8500,184.7400,187.6500,60813900
2023-08-31,187.8400,189.1200,187.4800,187.8700,60794500
2023-09-01,189.4900,189.9200,188.2800,189.4600,45732600
2023-09-05,188.2800,189.9800,187.6100,189.7000,45280000
2023-09-06,188.4000,188.8500,181.4700,182.9100,81755800
2023-09-07,175.1800,178.2100,173.5400,177.5600,112488800
2023-09-08,178.3500,180.2400,177.7900,178.1800,65551300
2023-09-11,180.0700,180.3000,177.3400,179.3600,58953100
2023-09-12,179.4900,180.1300,174.8200,176.3000,90370200
2023-09-13,176.5100,177.3000,173.9800,174.2100,84267900
2023-09-14,174.0000,176.1000,173.5800,175.7400,60895800
2023-09-15,176.4800,176.5000,173.8200,175.0100,109205100
2023-09-18,176.4800,179.3800,176.1700,177.9700,67257600
2023-09-19,177.5200,179.6300,177.1300,179.0700,51826900
2023-09-20,179.2600,179.7000,175.4000,175.4900,58436200
2023-09-21,174.5500,176.3000,173.8600,173.9300,63047900
2023-09-22,174.6700,177.0800,174.0500,174.7900,56725400
2023-09-25,174.2000,176.9700,174.1500,176.0800,46172700
2023-09-26,174.8200,175.2000,171.6600,171.9600,64588900
2023-09-27,172.6200,173.0400,169.0500,170.4300,66921800
2023-09-28,169.3400,172.0300,167.6200,170.6900,56294400
2023-09-29,172.0200,173.0700,170.3400,171.2100,51814200
2023-10-02,171.2200,174.3000,170.9300,173.7500,52164500
