Date,Cena ob začetku trgovalnega dne,Najvišja cena,Najnižja cena,Cena ob koncu trgovalnega dne,Obseg trgovanja
2023-08-07,232.7400,238.9800,232.7400,238.2500,6068000
2023-08-08,236.5200,240.7300,236.0000,238.0400,5149200
2023-08-09,238.5400,241.2400,236.4100,237.8600,4044400
2023-08-10,238.4500,241.5800,237.0400,238.2600,3710800
2023-08-11,237.6100,238.2600,235.1200,235.7200,2651000
2023-08-14,237.0000,238.6500,235.7500,236.7100,2486300
2023-08-15,235.0000,235.5600,231.5400,232.2600,3201900
2023-08-16,231.5000,234.6700,229.6000,229.9500,2273300
2023-08-17,230.5700,231.6400,224.2600,224.5400,4359400
2023-08-18,222.2300,226.7900,221.6800,226.6500,3580100
2023-08-21,226.8000,227.6900,225.1000,227.2200,2734600
2023-08-22,228.0800,230.4800,226.9300,230.0700,3012900
2023-08-23,230.0000,230.5400,227.1100,228.5800,3004500
2023-08-24,222.5100,224.2000,217.0900,217.3100,9132600
2023-08-25,218.4100,223.7700,212.8800,223.4100,12352300
2023-08-28,224.2100,227.4500,223.2900,227.0600,4641800
2023-08-29,225.8800,229.4000,225.6600,227.2500,3716700
2023-08-30,227.0800,231.1700,226.6500,228.8500,3328300
2023-08-31,229.3300,230.4300,222.9300,224.0300,6953800
2023-09-01,226.0000,226.2300,221.9500,223.4000,3655600
2023-09-05,223.1000,224.0900,221.2000,222.5700,3246500
2023-09-06,221.7700,222.7900,216.4200,217.9500,4233500
2023-09-07,217.5000,220.5500,214.8600,216.0500,4929600
2023-09-08,215.8300,216.0000,210.5100,211.2700,5752000
2023-09-11,213.7600,214.2000,208.7700,211.0100,4522300
2023-09-12,209.3500,212.2600,208.5800,210.6500,3256500
2023-09-13,210.0000,212.1800,207.7500,208.4000,3538100
2023-09-14,209.1400,210.4400,208.1000,209.0500,3974800
2023-09-15,209.2800,209.8300,206.8800,208.1100,4668500
2023-09-18,207.9100,207.9100,204.9800,205.1200,4299200
2023-09-19,205.4000,205.6600,202.3900,204.4800,4039900
2023-09-20,205.8700,206.2500,202.3100,202.3700,3738800
2023-09-21,201.0000,203.6000,199.7100,199.9500,4745700
2023-09-22,199.9600,200.7400,197.1400,197.7100,4450900
2023-09-25,196.8400,198.9800,195.1900,198.7800,3527100
2023-09-26,197.7900,199.3900,195.4200,195.6400,3666300
2023-09-27,196.0100,196.4000,192.7700,195.4600,4015500
2023-09-28,193.7000,195.2600,190.0300,190.4300,8009500
2023-09-29,191.9200,192.9500,190.1700,191.6800,5155400
2023-10-02,191.4700,192.4400,186.9300,187.8300,5244700
2023-10-03,188.6300,192.4900,188.2000,188.9200,7285500
2023-10-04,188.8500,190.6300,184.3400,186.7300,7419800
2023-10-05,186.1600,188.1000,184.1400,186.2900,4331700
2023-10-06,185.3700,188.6400,182.5500,187.3800,5359600
2023-10-09,188.0000,189.4900,185.6800,188.4900,4575800
2023-10-10,190.0100,194.3000,188.7600,193.5300,8062400
