Date,Cena ob začetku trgovalnega dne,Najvišja cena,Najnižja cena,Cena ob koncu trgovalnega dne,Obseg trgovanja
2023-08-07,129.1600,131.6100,129.0200,131.5300,22746300
2023-08-08,130.6200,131.5100,129.5400,131.4000,23535200
2023-08-09,131.6600,132.0400,129.0000,129.6600,24912900
2023-08-10,131.3200,132.0500,129.4500,129.6900,20857800
2023-08-11,128.6600,129.9300,128.1700,129.5600,19569200
2023-08-14,129.3900,131.3700,128.9600,131.3300,24695600
2023-08-15,131.1000,131.4200,129.2800,129.7800,19770700
2023-08-16,128.7000,130.2800,127.8700,128.7000,25216100
2023-08-17,129.8000,131.9900,129.2900,129.9200,33446300
2023-08-18,128.5100,129.2500,126.3800,127.4600,30491300
2023-08-21,127.1800,128.7300,126.5600,128.3700,25248700
2023-08-22,128.5100,130.2800,128.3200,129.0800,22067500
2023-08-23,130.1800,133.4100,129.8700,132.3700,27819700
2023-08-24,133.9500,134.2500,129.5700,129.7800,28500700
2023-08-25,129.5400,130.7600,127.2500,129.8800,26762900
2023-08-28,131.3100,132.5400,130.1400,131.0100,20543300
2023-08-29,132.2400,136.5700,132.2400,134.5700,43075600
2023-08-30,134.7800,136.2800,134.0700,135.8800,28315800
2023-08-31,136.0100,138.0000,135.7900,136.1700,30053800
2023-09-01,137.4600,137.4600,134.8500,135.6600,21524600
2023-09-05,135.4400,136.4200,134.5800,135.7700,19403100
2023-09-06,136.0200,136.5300,133.6700,134.4600,18684500
2023-09-07,133.5900,135.5800,132.9500,135.2600,18844300
2023-09-08,134.9100,136.6600,134.8500,136.3800,23558300
2023-09-11,136.5400,137.4800,135.7900,136.9200,20763400
2023-09-12,136.2600,136.8700,135.1900,135.3400,18405500
2023-09-13,135.0900,136.9000,134.1500,136.7100,20749500
2023-09-14,137.6000,138.7000,136.2400,138.1000,24751000
2023-09-15,137.9800,138.5200,136.4800,137.4000,38908400
2023-09-18,136.6100,139.1600,136.6100,138.2100,21861300
2023-09-19,137.4200,138.4100,136.6200,138.0400,20353700
2023-09-20,138.0800,138.0800,133.6200,133.7400,29927500
2023-09-21,131.4400,132.2300,130.0700,130.4400,31488700
2023-09-22,130.7600,132.0300,129.6000,130.2500,26397300
2023-09-25,129.8300,131.1700,128.9600,131.1100,20094600
2023-09-26,129.7700,130.3600,127.2200,128.5700,25718700
2023-09-27,128.5700,130.9000,128.5700,130.5400,22746500
2023-09-28,129.8400,133.3000,129.7900,132.3100,22513100
2023-09-29,133.2800,134.0500,130.3600,130.8600,30848100
2023-10-02,131.2100,134.4200,131.1700,134.1700,22288000
2023-10-03,133.9400,134.2600,131.8400,132.4300,22989400
2023-10-04,132.7900,135.5700,132.5300,135.2400,26752300
2023-10-05,135.0700,135.4900,133.4500,135.0700,19832600
2023-10-06,134.0100,138.1600,134.0100,137.5800,27583200
2023-10-09,136.9400,138.9400,135.6100,138.4200,19278100
2023-10-10,138.5000,139.7200,137.3300,138.0600,27786600
2023-10-11,138.5800,141.1100,138.5800,140.5500,25884300
2023-10-12,141.0500,141.2200,138.2600,138.9700,24765500
2023-10-13,139.3800,140.0000,136.6200,137.3600,23420500
2023-10-16,138.1700,139.6300,137.9900,139.1000,28501900
2023-10-17,138.6300,139.9000,137.1800,139.7200,23515800
2023-10-18,139.4500,140.7200,137.3800,137.9600,23375000
2023-10-19,138.5000,139.6600,137.3800,137.7500,26066000
2023-10-20,137.3300,137.8700,135.0800,135.6000,26315200
2023-10-23,135.0400,137.6600,133.9500,136.5000,26317900
2023-10-24,137.8300,139.3600,137.4200,138.8100,44814300
2023-10-25,128.1600,128.3100,125.0700,125.6100,84366200
2023-10-26,123.2700,124.3300,121.2700,122.2800,57061100
2023-10-27,122.8800,123.3100,120.2100,122.1700,44566500
2023-10-30,123.2100,125.4000,122.7500,124.4600,28940100
2023-10-31,125.0600,125.3700,122.6900,124.0800,26292300
2023-11-01,124.0700,126.4900,123.7200,126.4500,30082400
2023-11-02,128.4200,128.9800,126.9300,127.4900,27124600
2023-11-03,128.0200,129.5300,127.8600,129.1000,26380100
2023-11-06,129.0500,130.3400,128.6700,130.2500,19052700
2023-11-07,130.7100,131.9100,129.8800,130.9700,29757300
2023-11-08,130.9700,132.2100,130.7800,131.8400,26425800
2023-11-09,131.9600,132.5500,130.0700,130.2400,23747800
2023-11-10,130.1000,132.8000,129.4100,132.5900,26913300
2023-11-13,131.7800,132.5900,131.2500,132.0900,18324800
2023-11-14,134.1900,135.7000,133.3200,133.6200,32395200
2023-11-15,134.8700,135.0300,133.5700,134.6200,23861500
2023-11-16,135.1900,137.2200,134.3200,136.9300,28013200
2023-11-17,136.0000,136.0600,133.6500,135.3100,37240600
2023-11-20,133.6900,136.6600,133.6200,136.2500,27815500
2023-11-21,136.2900,137.1800,135.9600,136.9700,22635300
2023-11-22,137.4700,139.4200,137.4700,138.4900,17813900
2023-11-24,138.0300,138.1300,135.9900,136.6900,12514300
2023-11-27,136.0300,138.4200,136.0000,136.4100,23436500
2023-11-28,136.0800,137.2500,135.4200,137.2000,18730000
2023-11-29,137.5700,138.2900,134.8400,134.9900,23967200
2023-11-30,135.0500,135.5500,131.2800,132.5300,38988300
2023-12-01,131.8600,132.1100,130.6700,131.8600,31431200
2023-12-04,129.8800,130.0300,127.9000,129.2700,36669900
2023-12-05,128.9500,132.1400,128.2500,130.9900,27384800
2023-12-06,131.4400,131.8400,129.8800,130.0200,23576200
2023-12-07,135.0400,138.5600,134.7000,136.9300,56767100
2023-12-08,134.2000,136.4000,134.0300,134.9900,32233900
2023-12-11,132.3800,133.3400,131.3600,133.2900,31138000
2023-12-12,131.8100,133.0000,131.2600,132.5200,29032800
2023-12-13,133.3800,133.5000,131.5700,132.5700,30104800
2023-12-14,133.3800,133.7200,129.6900,131.9400,38722400
2023-12-15,131.6200,133.5100,131.1800,132.6000,50815200
2023-12-18,132.6300,137.1500,132.4300,135.8000,32258000
2023-12-19,136.8400,137.4700,136.0800,136.6500,25476800
2023-12-20,138.9700,141.7000,138.0700,138.3400,49107200
2023-12-21,139.4900,140.6900,139.1800,140.4200,27488300
