Date,Cena ob začetku trgovalnega dne,Najvišja cena,Najnižja cena,Cena ob koncu trgovalnega dne,Obseg trgovanja
2023-08-07,60.7900,61.3300,60.7400,61.1900,6982600
2023-08-08,61.1900,61.3500,60.6200,60.9200,7956100
2023-08-09,60.9100,61.6300,60.7500,61.0600,7904100
2023-08-10,61.3500,61.7300,60.7900,60.9200,7870300
2023-08-11,60.8400,61.2000,60.6900,61.1700,8483400
2023-08-14,61.3200,61.4800,60.7500,60.8800,7176300
2023-08-15,60.6900,60.9000,60.3700,60.4700,7187400
2023-08-16,60.5400,60.8200,60.4000,60.4800,8372300
2023-08-17,60.5800,61.0200,60.4500,60.6100,12873500
2023-08-18,60.5400,61.0900,60.3700,60.9500,11082300
2023-08-21,60.8600,60.9300,60.3200,60.4300,8648500
2023-08-22,60.3400,60.5800,59.9800,60.0600,9412200
2023-08-23,60.2000,60.4400,60.1600,60.2700,7749500
2023-08-24,60.2700,60.8800,60.0900,60.1100,8955100
2023-08-25,60.4100,60.5700,60.0100,60.3900,7629200
2023-08-28,60.5500,60.7300,60.3700,60.5600,6254300
2023-08-29,60.5600,60.6300,60.1500,60.5000,8189600
2023-08-30,60.6400,60.7400,60.2900,60.4700,9447900
2023-08-31,60.3000,60.4700,59.8100,59.8300,14663500
2023-09-01,60.0000,60.1300,59.1200,59.3100,11257200
2023-09-05,59.2500,59.3200,58.6700,58.8200,12474600
2023-09-06,58.6200,58.8300,58.4200,58.7800,13923500
2023-09-07,58.9500,59.1600,58.3000,58.3300,17628600
2023-09-08,58.3000,58.4100,58.0100,58.3300,14312300
2023-09-11,58.4000,58.9900,58.2300,58.8800,14767400
2023-09-12,58.9900,59.0000,58.1900,58.3000,12292700
2023-09-13,58.4000,58.6800,58.3400,58.4400,12641400
2023-09-14,58.2400,58.5900,58.1900,58.4600,12311600
2023-09-15,58.4100,58.6400,57.7500,57.9400,55690500
2023-09-18,57.9800,58.3500,57.6300,58.3000,13617400
2023-09-19,58.2600,58.3900,57.9200,58.1800,11998900
2023-09-20,58.3000,58.8300,58.0800,58.4400,14766600
2023-09-21,58.3700,58.4200,57.4200,57.5400,15941800
2023-09-22,57.8500,57.9700,57.5000,57.6000,14644100
2023-09-25,57.4000,57.4900,56.7400,57.0000,12358800
2023-09-26,56.7300,56.9000,56.4000,56.5300,11194700
2023-09-27,56.4200,56.5300,55.6800,55.9500,13766300
2023-09-28,56.2300,56.3200,55.7000,55.8100,12484800
2023-09-29,56.1400,56.2700,55.6200,55.9800,12270000
2023-10-02,55.9100,56.0100,55.0800,55.4800,11792500
2023-10-03,55.1600,55.4300,54.7800,54.8800,13604200
2023-10-04,54.8900,55.2800,54.7100,55.0400,12100500
2023-10-05,54.7400,54.9500,52.2400,52.3800,29878100
2023-10-06,52.0400,53.2900,51.5500,53.1400,30292000
2023-10-09,52.9600,53.1500,52.1100,52.8800,15704700
2023-10-10,54.1300,54.3300,53.5600,54.0300,20909700
2023-10-11,54.2200,54.2800,53.0200,53.7100,21138900
2023-10-12,53.7600,53.8300,52.4300,52.8100,19330400
2023-10-13,52.7400,53.4200,52.6400,52.8900,14494600
2023-10-16,53.0200,53.5600,52.8400,53.4300,12816800
2023-10-17,53.3100,54.1000,53.2100,54.0700,16457200
2023-10-18,54.1000,54.5300,53.9200,54.0500,12809500
2023-10-19,54.1600,54.7600,53.8600,54.3500,16202200
2023-10-20,54.5300,55.0200,54.4400,54.5700,15674600
2023-10-23,54.3800,54.8900,54.0500,54.0800,21212700
2023-10-24,55.6500,56.1700,55.3000,55.6400,25290800
2023-10-25,55.7600,56.2200,55.5600,56.1200,16701000
2023-10-26,56.3700,56.6300,55.7200,55.7800,16228400
2023-10-27,55.5500,56.1400,55.1000,55.2400,13626500
2023-10-30,55.4300,56.2800,55.4200,56.1500,15014300
2023-10-31,56.5700,56.7200,56.1500,56.4900,16639400
2023-11-01,56.8000,56.8800,56.2600,56.4400,14110800
2023-11-02,56.5000,57.1500,56.3600,57.0900,13087200
2023-11-03,57.4000,57.5900,56.7000,56.7400,13956500
2023-11-06,56.7800,57.2800,56.7400,56.9700,12673200
2023-11-07,56.9200,57.4000,56.7300,57.1800,10449300
2023-11-08,57.3200,57.4700,56.9200,57.0900,13744000
2023-11-09,57.0300,57.1400,56.3700,56.6600,12021100
2023-11-10,56.8700,56.9300,56.0600,56.7200,11678900
2023-11-13,56.6200,57.1000,56.6000,56.9300,12798200
2023-11-14,57.0200,57.2400,56.8100,57.1000,12697100
2023-11-15,57.3000,57.3400,56.7500,57.2100,10201900
2023-11-16,57.2500,57.5300,56.8100,57.1500,16010400
2023-11-17,57.1900,57.3400,56.7000,57.2600,14475800
2023-11-20,57.0500,57.5800,56.9600,57.4000,13051000
2023-11-21,57.4600,58.0400,57.3300,58.0300,13891600
2023-11-22,58.2600,58.5400,58.1300,58.4200,11320600
2023-11-24,58.4600,58.7500,58.3400,58.5700,4816000
2023-11-27,58.5400,58.6900,58.2700,58.4600,16246500
2023-11-28,58.4000,58.8300,58.3600,58.5800,13739600
2023-11-29,58.5800,58.6700,58.1000,58.2300,11263600
2023-11-30,57.9600,58.4600,57.6000,58.4400,22727500
2023-12-01,58.2700,58.6900,58.2400,58.6400,15369600
2023-12-04,58.5900,58.9600,58.4400,58.5700,14942200
2023-12-05,58.5500,58.8300,58.4200,58.6600,11891500
2023-12-06,58.5600,58.7300,58.2100,58.6000,14868500
2023-12-07,58.6700,58.8900,58.3900,58.7400,11587900
2023-12-08,58.7400,58.7500,58.3700,58.6100,11177600
2023-12-11,58.8300,59.0900,58.5000,59.0400,14524800
2023-12-12,59.2000,59.4200,58.9000,59.4200,12899000
2023-12-13,59.4500,60.0200,59.2600,59.9300,16196800
2023-12-14,59.9700,60.0400,58.7700,59.0400,22478300
2023-12-15,58.8300,59.1700,57.8000,58.6000,65172300
2023-12-18,58.8000,59.4900,58.6200,59.0200,16717700
2023-12-19,59.0000,59.2000,58.6400,58.8300,14612200
2023-12-20,58.5000,58.6700,57.5700,57.6100,17701000
2023-12-21,57.8500,58.0700,57.4700,57.9900,11725100
2023-12-22,58.1200,58.4600,58.0200,58.3200,9028500
2023-12-26,58.0600,58.7100,58.0600,58.5600,6422500
2023-12-27,58.6400,58.7700,58.4000,58.7100,8560100
2023-12-28,58.6500,58.8700,58.5300,58.7500,8400100
2023-12-29,58.7400,58.9800,58.6300,58.9300,9241600
2024-01-02,58.8000,59.8800,58.6700,59.8200,16322600
2024-01-03,59.9300,60.2000,59.7600,59.9600,14830600
2024-01-04,60.0500,60.2600,59.6600,59.7600,12912900
2024-01-05,59.8000,59.9500,59.0900,59.6700,10411400
2024-01-08,59.6800,60.1800,59.4200,60.1100,11554600
2024-01-09,59.9900,60.1400,59.6200,60.0000,10493700
2024-01-10,60.2200,60.4100,59.9800,60.2000,12258000
2024-01-11,60.2500,60.2600,59.6900,59.8100,13754200
2024-01-12,60.0800,60.4600,59.8700,60.3900,13216900
2024-01-16,60.3900,60.4300,59.8500,59.9900,11826900
2024-01-17,59.8600,60.2100,59.8200,59.9900,8982100
2024-01-18,59.6900,60.2300,59.5300,60.1600,10397700
2024-01-19,60.2600,60.2800,59.6400,59.8300,14193100
2024-01-22,59.7600,60.0700,59.4400,59.5700,14314300
2024-01-23,59.5300,60.0000,59.4600,59.8500,14481600
2024-01-24,59.8000,59.8100,58.8900,58.9100,16370500
2024-01-25,59.0100,59.1700,58.6600,59.1600,14899700
2024-01-26,59.2500,59.4900,59.1300,59.3700,13025100
2024-01-29,59.3400,59.7900,59.1700,59.7300,14547100
2024-01-30,59.8500,60.0200,59.4500,59.9000,22061500
2024-01-31,60.1000,60.4500,59.2900,59.4900,22837000
2024-02-01,59.5700,61.0100,59.3600,60.9800,15870900
2024-02-02,60.8200,60.8700,60.2300,60.5400,17543500
2024-02-05,60.3800,60.3800,59.8800,60.0400,12759600
2024-02-06,59.9600,60.0500,59.6800,59.9400,12775200
2024-02-07,60.0700,60.2100,59.9400,59.9900,10259900
2024-02-08,59.8900,59.9700,59.4100,59.8300,12874800
2024-02-09,59.4700,59.5800,59.0300,59.5600,15235300
2024-02-12,59.6600,59.7600,58.9600,59.7000,13516800
2024-02-13,59.5000,60.6600,58.7900,59.3500,24195700
2024-02-14,59.1700,59.5900,59.0400,59.2900,15872500
2024-02-15,59.4200,59.5900,59.1300,59.4000,13695800
2024-02-16,59.3500,59.6200,58.9600,59.3900,13943300
2024-02-20,59.6000,60.8400,59.5100,60.7000,18339300
2024-02-21,60.9900,61.2800,60.8300,61.2400,14378300
2024-02-22,60.9900,61.2500,60.5000,61.1500,12982800
2024-02-23,61.0900,61.6200,61.0000,61.2000,13612900
2024-02-26,61.2400,61.2700,60.6600,60.7100,10336100
2024-02-27,60.5400,60.7800,60.1200,60.3400,9931100
2024-02-28,60.3700,60.4900,60.0600,60.4000,8076500
2024-02-29,60.3500,60.6400,59.9000,60.0200,18152700
2024-03-01,59.9000,59.9000,59.3400,59.5300,10924800
2024-03-04,59.2300,59.9500,59.2200,59.8100,10150200
2024-03-05,59.9100,60.1100,59.4200,59.5200,12310000
2024-03-06,59.5200,60.0000,59.3800,59.5500,12378800
2024-03-07,59.6900,59.7700,59.2400,59.4400,13686900
2024-03-08,59.3000,59.7900,58.9700,59.5200,13237500
2024-03-11,59.7800,60.2900,59.5800,60.2400,14114300
2024-03-12,60.3200,60.7500,60.2100,60.5000,12684600
2024-03-13,60.8800,61.2100,60.8000,61.1200,13909500
2024-03-14,60.5800,60.8000,60.4000,60.5000,13996600
2024-03-15,60.0200,60.4500,59.6400,59.8800,36848900
