Date,Cena ob začetku trgovalnega dne,Najvišja cena,Najnižja cena,Cena ob koncu trgovalnega dne,Obseg trgovanja
2023-08-07,45.1110,45.5400,44.5630,45.4170,322154000
2023-08-08,44.8530,45.2420,44.0560,44.6640,353843000
2023-08-09,44.2740,44.3120,42.1340,42.5540,586449000
2023-08-10,42.1600,43.5740,41.8350,42.3880,492705000
2023-08-11,41.7510,42.0180,40.6390,40.8550,533085000
2023-08-14,40.4860,43.8000,40.3110,43.7530,690286000
2023-08-15,44.5600,45.2680,43.7100,43.9400,676512000
2023-08-16,44.5200,44.6750,43.4060,43.4860,527451000
2023-08-17,43.9700,44.0620,43.0010,43.3440,452395000
2023-08-18,42.6350,43.5780,41.6600,43.2990,583768000
2023-08-21,44.4940,47.0650,44.2220,46.9670,692573000
2023-08-22,48.1350,48.1870,45.3330,45.6680,755293000
2023-08-23,45.8660,47.2000,45.2080,47.1160,779046000
2023-08-24,50.2160,50.2660,47.1590,47.1630,1156044000
2023-08-25,47.0120,47.8050,45.0240,46.0180,925341000
2023-08-28,46.4820,46.9800,44.8880,46.8350,685192000
2023-08-29,46.6660,49.0810,46.3910,48.7840,701397000
2023-08-30,49.0440,49.9270,48.4250,49.2640,735206000
2023-08-31,49.3800,49.7440,48.9580,49.3550,528570000
2023-09-01,49.7620,49.8000,48.1420,48.5090,463830000
2023-09-05,48.2230,48.8510,47.8600,48.5480,382653000
2023-09-06,48.4410,48.5490,46.5800,47.0610,468670000
2023-09-07,45.5250,46.3440,45.1520,46.2410,433330000
2023-09-08,45.9420,46.6060,45.2710,45.5720,473069000
2023-09-11,46.1480,46.1630,44.3120,45.1780,473966000
2023-09-12,44.7380,45.6730,44.5310,44.8700,349256000
2023-09-13,44.6000,45.9300,44.5030,45.4850,398355000
2023-09-14,45.9500,45.9870,45.1310,45.5810,370097000
2023-09-15,45.3410,45.5990,43.8080,43.9000,506831000
2023-09-18,42.7480,44.2420,42.0000,43.9660,500271000
2023-09-19,43.8330,43.9660,43.0020,43.5200,373064000
2023-09-20,43.6000,43.9030,42.2230,42.2390,367108000
2023-09-21,41.5830,42.1000,40.9800,41.0170,450736000
2023-09-22,41.5720,42.1150,41.2310,41.6100,479236000
2023-09-25,41.5910,42.5360,41.1770,42.2220,419091000
2023-09-26,42.0010,42.8200,41.6550,41.9110,402282000
2023-09-27,42.3300,42.8720,41.6290,42.4680,444935000
2023-09-28,42.4600,43.4460,42.1150,43.0890,424663000
2023-09-29,43.8270,44.1440,43.3070,43.4990,397830000
2023-10-02,44.0300,45.1750,43.8610,44.7820,433298000
2023-10-03,44.8080,45.1300,43.2460,43.5170,470850000
2023-10-04,43.7420,44.1430,43.2920,44.0410,361821000
2023-10-05,44.0500,44.9000,43.8880,44.6880,393483000
2023-10-06,44.1930,45.7890,44.0260,45.7620,434436000
2023-10-09,44.8420,45.6050,44.3680,45.2730,409675000
2023-10-10,45.3100,46.2590,45.0880,45.7980,368582000
2023-10-11,46.1960,46.8590,46.0500,46.8060,378137000
2023-10-12,46.7770,47.6090,46.3300,46.9450,481325000
2023-10-13,46.9600,47.1160,45.2800,45.4610,474115000
2023-10-16,45.0630,46.2250,44.9120,46.0950,375099000
2023-10-17,44.0000,44.7540,42.4800,43.9380,812333000
2023-10-18,42.5910,43.2190,41.8250,42.1960,627294000
2023-10-19,42.8110,43.2970,41.8820,42.1010,501233000
2023-10-20,41.8900,42.4700,41.0780,41.3870,477266000
2023-10-23,41.2290,43.2480,40.9450,42.9750,478530000
2023-10-24,43.0770,43.6970,42.6910,43.6630,401463000
2023-10-25,43.3980,43.6500,41.5550,41.7790,398379000
2023-10-26,41.8530,42.2560,39.8800,40.3260,541001000
2023-10-27,41.1300,41.2060,40.0150,40.5000,416784000
2023-10-30,41.0870,41.7660,40.4810,41.1610,388028000
2023-10-31,40.4500,40.8790,39.2300,40.7800,517969000
2023-11-01,40.8840,42.3810,40.8690,42.3250,437593000
2023-11-02,43.3280,43.8840,42.8940,43.5060,409172000
2023-11-03,44.0200,45.3090,43.7230,45.0050,424610000
2023-11-06,45.2850,45.9350,44.8990,45.7510,400733000
2023-11-07,45.7190,46.2180,45.1580,45.9550,343165000
2023-11-08,46.1000,46.8670,45.9680,46.5740,346719000
2023-11-09,47.4670,48.2300,46.7500,46.9500,540496000
2023-11-10,47.5000,48.4720,47.2830,48.3350,421245000
2023-11-13,48.3200,49.1160,48.0990,48.6200,384136000
2023-11-14,49.6800,49.8340,49.0400,49.6560,416954000
2023-11-15,49.9350,49.9600,48.2000,48.8880,475497000
2023-11-16,48.6790,49.5250,48.3300,49.4800,339756000
2023-11-17,49.5240,49.7170,49.0070,49.2980,325205000
2023-11-20,49.3120,50.5480,49.1810,50.4090,414120000
2023-11-21,50.1260,50.5170,49.2220,49.9440,565747000
2023-11-22,49.8520,50.3350,47.6900,48.7160,899420000
2023-11-24,48.4700,48.9210,47.7450,47.7760,294645000
2023-11-27,47.8000,48.5300,47.6520,48.2420,395662000
2023-11-28,48.2360,48.3230,47.4730,47.8210,401491000
2023-11-29,48.3790,48.7620,47.8600,48.1400,382005000
2023-11-30,48.0240,48.1100,46.4220,46.7700,526247000
2023-12-01,46.5250,47.2000,46.1870,46.7650,369317000
2023-12-04,46.0770,46.0770,45.0100,45.5100,437543000
2023-12-05,45.4660,46.6000,45.2710,46.5660,371718000
2023-12-06,47.2150,47.3870,45.4120,45.5030,380590000
2023-12-07,45.7000,46.6290,45.6040,46.5960,350823000
2023-12-08,46.5950,47.7410,46.5500,47.5060,359224000
2023-12-11,47.4910,47.5310,45.8300,46.6270,509728000
2023-12-12,46.0460,47.6660,46.0460,47.6570,372387000
2023-12-13,47.6290,48.5940,47.6080,48.0880,447792000
2023-12-14,48.3900,48.6700,47.4220,48.3500,391232000
2023-12-15,48.1940,49.4040,48.1200,48.8900,479948000
2023-12-18,49.4000,50.4330,49.1500,50.0770,412587000
2023-12-19,49.4240,49.7000,48.8950,49.6040,464444000
2023-12-20,49.6550,49.9990,48.0980,48.1110,397894000
2023-12-21,48.8110,49.0950,48.4190,48.9900,300425000
2023-12-22,49.1950,49.3830,48.4670,48.8300,252507000
2023-12-26,48.9680,49.6000,48.9600,49.2790,244200000
2023-12-27,49.5110,49.6800,49.0850,49.4170,233648000
2023-12-28,49.6430,49.8840,49.4120,49.5220,246587000
2023-12-29,49.8130,49.9970,48.7510,49.5220,389293000
2024-01-02,49.2440,49.2950,47.5950,48.1680,411254000
2024-01-03,47.4850,48.1840,47.3200,47.5690,320896000
2024-01-04,47.7670,48.5000,47.5080,47.9980,306535000
